DistanceGroup,percentage
1,0.08419641185715343
2,0.09457548107901707
3,0.09024645163041757
4,0.0914106013209356
5,0.09402887922567624
6,0.09033408919123205
7,0.08472801925142415
8,0.09326218727328044
9,0.09357185600453528
10,0.09695100188650385
11,0.09999292335998868
12,0.09319599881152818
13,0.08346479696172948
14,0.08846606512357788
15,0.12080536912751678
19,0.10635964912280702
21,0.16287878787878787
22,0.07078507078507079
23,0.07792207792207792
