Year,Month,DayofMonth,percentageCancelled
1998,1,29,0.01770557029177719
1998,1,30,0.018284200066247102
1998,1,31,0.013130929791271347
1998,2,1,0.014629343086228723
1998,2,2,0.02863202545068929
1998,2,3,0.0392468841156192
1998,2,4,0.04537926465717125
1998,2,5,0.05728476821192053
1998,2,6,0.02739182215164748
1998,2,7,0.022475322703113136
1998,2,8,0.01392502988958436
1998,2,9,0.03161452810180276
1998,2,10,0.03448504542741561
1998,2,11,0.028586553732133403
1998,2,12,0.014510916166479784
1998,2,13,0.009153770167928878
1998,2,14,0.017410881801125704
1998,2,15,0.01217966769923965
1998,2,16,0.01778485632755989
1998,2,17,0.03815685238975442
1998,2,18,0.029699049630411825
1998,2,19,0.02024264802848477
1998,2,20,0.013763582482713204
1998,2,21,0.017180847090460895
1998,2,22,0.009844993715961458
1998,2,23,0.02058590657165479
1998,2,24,0.043179717417139836
1998,2,25,0.051525961157352355
1998,2,26,0.019989444517746403
1998,2,27,0.013636363636363636
1998,2,28,0.0121049092131809
1998,3,1,0.008162411050648808
1998,3,2,0.01622798337621215
1998,3,3,0.016955861977963976
1998,3,4,0.01595990239398536
1998,3,5,0.011650102020667413
1998,3,6,0.010319442618640725
1998,3,7,0.022701898027540007
1998,3,8,0.03452356093826129
1998,3,9,0.12183877766069547
1998,3,10,0.020895128864280535
1998,3,11,0.021221907335398405
1998,3,12,0.016978152145301396
1998,3,13,0.01498422712933754
1998,3,14,0.012342007434944237
1998,3,15,0.009458895534844901
1998,3,16,0.020283174185051038
1998,3,17,0.02458152102280216
1998,3,18,0.040650942153116355
1998,3,19,0.024537859351358462
1998,3,20,0.022007620549205097
1998,3,21,0.015096304008328995
1998,3,22,0.01822608695652174
1998,3,23,0.016856522025416473
1998,3,24,0.02292490118577075
1998,3,25,0.016800632494399788
1998,3,26,0.015134566032769626
1998,3,27,0.011823436678928009
1998,3,28,0.009810479375696768
1998,3,29,0.005498329621380847
1998,3,30,0.016733645167665855
1998,3,31,0.024269603640440545
1998,4,1,0.017622599168371725
1998,4,2,0.025637645818229752
1998,4,3,0.026196274600144804
1998,4,4,0.015952666267225885
1998,4,5,0.00694006309148265
1998,4,6,0.011110376297863898
1998,4,7,0.01765873015873016
1998,4,8,0.016862848829519904
1998,4,9,0.017702622366074377
1998,4,10,0.011331634705645702
1998,4,11,0.0073422562141491395
1998,4,12,0.007176023638666104
1998,4,13,0.012568631342197526
1998,4,14,0.013236267372600927
1998,4,15,0.01873551804038398
1998,4,16,0.016667769032343408
1998,4,17,0.01432154171066526
1998,4,18,0.009933027315825118
1998,4,19,0.010806665272258244
1998,4,20,0.015216672179953688
1998,4,21,0.019144144144144143
1998,4,22,0.015103338632750398
1998,4,23,0.02368508104531922
1998,4,24,0.014847564999340108
1998,4,25,0.01242189264473387
1998,4,26,0.009844306360399359
1998,4,27,0.017208286451783704
1998,4,28,0.02186733814856537
1998,4,29,0.022388554017354442
1998,4,30,0.017758929163077333
1998,5,1,0.020185922974767595
1998,5,2,0.018144704014515765
1998,5,3,0.010884067130117267
1998,5,4,0.019310161139965375
1998,5,5,0.03139968068121341
1998,5,6,0.04005331556147951
1998,5,7,0.03437021248251516
1998,5,8,0.0272588258759391
1998,5,9,0.019501133786848073
1998,5,10,0.02318861009303637
1998,5,11,0.026
1998,5,12,0.02794637497498833
1998,5,13,0.019848960769899084
1998,5,14,0.016275346851654215
1998,5,15,0.018836528221512248
1998,5,16,0.01933534743202417
1998,5,17,0.013796987188511897
1998,5,18,0.02037419268926027
1998,5,19,0.029909405808686385
1998,5,20,0.022865142323845077
1998,5,21,0.016586730615507594
1998,5,22,0.009900990099009901
1998,5,23,0.007349416839750759
1998,5,24,0.00802825947334618
1998,5,25,0.00832458901713886
1998,5,26,0.011459790792191352
1998,5,27,0.02056349312324743
1998,5,28,0.022205921579087757
1998,5,29,0.020815322205227107
1998,5,30,0.01829314385063119
1998,5,31,0.03927088465057358
1998,6,1,0.02743639141699329
1998,6,2,0.031376183226318924
1998,6,3,0.022810158477554538
1998,6,4,0.02676028350003312
1998,6,5,0.018511172815020495
1998,6,6,0.015488365199347858
1998,6,7,0.009442477261681594
1998,6,8,0.014033229628648971
1998,6,9,0.014913501690196859
1998,6,10,0.030018513620735255
1998,6,11,0.03524519833674345
1998,6,12,0.022558368957579743
1998,6,13,0.05541322011565771
1998,6,14,0.014381525271382147
1998,6,15,0.02617043661230931
1998,6,16,0.04734973036959095
1998,6,17,0.029405960134201697
1998,6,18,0.03177729630359136
1998,6,19,0.04507928187655615
1998,6,20,0.017755785184107118
1998,6,21,0.01447976280769496
1998,6,22,0.024095594511194276
1998,6,23,0.035634451019066406
1998,6,24,0.024587469594372493
1998,6,25,0.021001509483494125
1998,6,26,0.044457539448700324
1998,6,27,0.04407272727272727
1998,6,28,0.020089439284485724
1998,6,29,0.034313082272667626
1998,6,30,0.06456061999211875
1998,7,1,0.025730226452248112
1998,7,2,0.01930754630538648
1998,7,3,0.016562384983437616
1998,7,4,0.021139632837955974
1998,7,5,0.012833781825708964
1998,7,6,0.01855360292676553
1998,7,7,0.02592131963081757
1998,7,8,0.02795417348608838
1998,7,9,0.018690367272251995
1998,7,10,0.01846173918716159
1998,7,11,0.016502605674580197
1998,7,12,0.013591967761764906
1998,7,13,0.014134275618374558
1998,7,14,0.017673627021011978
1998,7,15,0.019053231192300138
1998,7,16,0.019277265895576032
1998,7,17,0.01903396128022945
1998,7,18,0.016002896451846486
1998,7,19,0.01072331124923161
1998,7,20,0.025111169238817684
1998,7,21,0.0335776934153685
1998,7,22,0.03136048186460652
1998,7,23,0.02758530526866257
1998,7,24,0.019306026611009653
1998,7,25,0.015575195595479572
1998,7,26,0.010936431989063569
1998,7,27,0.018508829300196206
1998,7,28,0.018713603350127592
1998,7,29,0.02874165248134084
1998,7,30,0.027330979469072838
1998,7,31,0.014741373687300241
1998,8,1,0.015173410404624277
1998,8,2,0.020092630431821277
1998,8,3,0.022768670309653915
1998,8,4,0.04136268890046899
1998,8,5,0.02278200872225477
1998,8,6,0.01912319500455314
1998,8,7,0.020760347735824577
1998,8,8,0.01683453237410072
1998,8,9,0.012831828365808949
1998,8,10,0.052310091623887195
1998,8,11,0.026990114464099896
1998,8,12,0.020886199492484873
1998,8,13,0.013263979193758128
1998,8,14,0.012646734548284584
1998,8,15,0.011522396658504968
1998,8,16,0.010601427115188583
1998,8,17,0.029840072812378104
1998,8,18,0.03811134235171696
1998,8,19,0.022712482103345047
1998,8,20,0.01416596270063032
1998,8,21,0.01376087238738154
1998,8,22,0.015554115359688918
1998,8,23,0.010328191886933479
1998,8,24,0.050699642043605594
1998,8,25,0.032942708333333334
1998,8,26,0.029427083333333333
1998,8,27,0.02315748390034476
1998,8,28,0.02740793661102812
1998,8,29,0.11103910131777922
1998,8,30,0.10713071850995853
1998,8,31,0.11499934955119032
1998,9,1,0.11624731811975815
1998,9,2,0.11896708729023026
1998,9,3,0.11342081330388464
1998,9,4,0.109375
1998,9,5,0.11074612857813233
